,Anio,Superfície (km²),Densitat (hab./km²)
0,2024,21.18,10680.8
1,2023,21.18,10590.2
2,2022,21.18,10552.7
3,2021,21.18,10529.1
4,2020,21.18,10536.6
5,2019,21.18,10407.9
6,2018,21.18,10280.5
7,2017,21.18,10191.1
8,2016,21.18,10181.0
9,2015,21.18,10182.0
10,2014,21.18,10255.4
11,2013,21.18,10373.4
12,2012,21.18,10433.3
13,2011,21.18,10377.1
14,2010,21.18,10334.6
15,2009,21.18,10365.8
16,2008,21.18,10166.6
17,2007,21.18,10207.8
18,2006,21.18,10458.9
19,2005,21.18,10318.8
20,2004,21.18,10145.1
21,2003,21.18,10124.7
22,2002,21.18,9932.5
23,2001,21.18,9867.5
24,2000,21.18,9865.2
25,1999,21.18,9897.8
26,1998,21.18,9896.4
