,Fecha,Renta Bruta,Renta Disponible,Poblacion,Renta_per_capita,Renta_bruta_per_capita
0,2022,30598,25559,225957,0.11311444212836956,0.1354151453595153
1,2021,29314,24694,223506,0.1104847297164282,0.13115531574096445
2,2020,27696,23460,223006,0.10519896325659399,0.1241939678753038
3,2019,27951,22911,223166,0.10266348816576001,0.12524757355511143
4,2018,27453,22586,220440,0.1024587189257848,0.12453728905824714
5,2017,26253,21656,217741,0.09945761248455734,0.12056985133713907
6,2016,25970,21495,215848,0.09958396649494089,0.12031614840072644
7,2015,24779,20675,215634,0.09588005602085015,0.11491230510958383
8,2014,24013,19854,215654,0.09206413977946154,0.11134966195850761
9,2013,23952,19849,217210,0.0913816122646287,0.11027116615257125
