;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009
Camps poliesportius;17;17;17;17;17;17;17;17;17;13;13;13;13;14;12;12
Espais d'atletisme;8;8;8;8;8;8;8;8;8;5;5;5;5;5;5;5
Piscines a l'aire lliure;40;40;40;40;40;40;40;40;8;7;7;7;7;7;7;7
Piscines cobertes;11;11;11;11;11;9;9;9;9;8;8;9;9;9;9;9
Pistes poliesportives;169;172;172;172;172;172;172;172;172;168;168;176;176;181;179;179
Pavellons;17;17;17;17;17;17;17;17;17;12;12;12;12;12;12;12
Pistes de tennis;18;18;18;18;18;18;18;18;18;17;19;19;19;19;19;19
Pistes de pàdel;37;37;36;36;21;10;10;10;10;6;4;4;4;4;4;4
Sales esportives;198;197;196;196;184;173;171;171;169;143;143;149;149;148;148;148
Pistes d'esquaix;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
Frontons;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Espais de petanca;101;101;101;101;101;101;101;101;101;181;181;195;195;195;194;194
Altres espais esportius;18;18;18;18;16;15;14;14;14;0;0;1;1;1;2;1
Àrees d'activitat esportiva;60;60;60;59;58;58;58;58;56;3;3;3;3;3;2;3
Total;699;701;699;698;668;643;640;640;604;568;568;598;598;603;598;598
