;Superfície (km²);Densitat (hab./km²);Entitats singulars població (nombre)
2024;21,18;10680,8;..
2023;21,18;10590,2;1
2022;21,18;10552,7;1
2021;21,18;10529,1;1
2020;21,18;10536,6;1
2019;21,18;10407,9;1
2018;21,18;10280,5;1
2017;21,18;10191,1;1
2016;21,18;10181;1
2015;21,18;10182;1
2014;21,18;10255,4;1
2013;21,18;10373,4;1
2012;21,18;10433,3;1
2011;21,18;10377,1;1
2010;21,18;10334,6;1
2009;21,18;10365,8;1
2008;21,18;10166,6;1
2007;21,18;10207,8;1
2006;21,18;10458,9;1
2005;21,18;10318,8;1
2004;21,18;10145,1;1
2003;21,18;10124,7;1
2002;21,18;9932,5;1
2001;21,18;9867,5;1
2000;21,18;9865,2;1
1999;21,18;9897,8;1
1998;21,18;9896,4;1
