;Analfabetisme;Educació primària incompleta;Educació primària;Primera etapa d’educació secundària i similar;Segona etapa d’educació secundària, amb orientació general;Segona etapa d’educació secundària, amb orientació professional;Ensenyaments de grau superior de formació professional i similars;Graus universitaris de fins a 240 crèdits i similars;Graus universitaris de més de 240 crèdits i similars;Màsters universitaris i similars;Doctorat universitari;Total
Homes;204;2985;9783;31746;12378;10905;9216;6993;5982;1716;639;92547
De 15 a 19 anys;12;78;741;3993;957;552;0;0;0;0;0;6333
De 20 a 24 anys;15;54;318;1023;1602;1383;1017;594;48;87;0;6135
De 25 a 29 anys;15;84;354;1491;801;750;972;960;342;342;15;6129
De 30 a 34 anys;6;90;375;1845;795;831;792;750;654;396;72;6606
De 35 a 39 anys;6;99;507;2373;960;939;792;588;744;255;105;7371
De 40 a 44 anys;6;72;600;2886;1329;1134;1284;906;888;207;93;9408
De 45 a 49 anys;9;66;504;3060;1320;1245;1311;894;990;150;87;9642
De 50 a 54 anys;18;78;528;2757;1146;1353;1104;645;780;102;63;8580
De 55 a 59 anys;18;81;534;2808;981;1098;798;450;549;66;66;7446
De 60 a 64 anys;12;84;663;2724;927;567;402;357;369;57;45;6219
De 65 a 69 anys;6;153;825;2553;738;423;282;306;270;36;39;5637
De 70 a 74 anys;18;330;1089;2130;399;330;213;258;159;6;18;4953
De 75 a 79 anys;18;519;1077;1344;231;168;132;165;99;6;15;3771
De 80 a 84 anys;18;513;840;480;111;87;63;75;51;3;9;2253
85 anys o més;33;681;831;276;75;42;57;42;30;3;3;2067
Dones;870;5472;12870;28194;11373;10203;8436;9420;6765;2391;684;96681
De 15 a 19 anys;6;36;498;3567;1212;399;0;0;0;0;0;5718
De 20 a 24 anys;9;24;183;654;1503;921;1020;981;84;153;3;5538
De 25 a 29 anys;12;45;234;918;642;621;843;1329;393;495;42;5574
De 30 a 34 anys;6;93;339;1257;675;729;762;1068;789;513;108;6345
De 35 a 39 anys;9;102;483;1524;915;891;873;981;933;375;117;7203
De 40 a 44 anys;15;81;537;1815;1164;1083;1305;1341;1098;294;135;8871
De 45 a 49 anys;15;84;459;2250;1302;1167;1311;1236;1191;219;96;9327
De 50 a 54 anys;24;108;567;2580;1185;1233;1026;786;951;138;66;8661
De 55 a 59 anys;27;111;615;2889;921;1254;645;597;591;66;48;7761
De 60 a 64 anys;18;165;921;3132;732;846;294;435;345;66;30;6984
De 65 a 69 anys;24;339;1326;3225;504;513;168;282;183;42;21;6630
De 70 a 74 anys;57;783;1893;2226;273;288;99;192;114;18;9;5952
De 75 a 79 anys;135;1053;1914;1221;171;120;42;96;63;9;6;4827
De 80 a 84 anys;180;1023;1314;501;87;75;24;48;24;3;0;3282
85 anys o més;333;1422;1587;435;84;63;21;48;15;0;0;4011
Total;1077;8457;22656;59940;23748;21108;17652;16416;12747;4104;1326;189228
De 15 a 19 anys;15;114;1239;7560;2169;951;0;0;0;0;0;12051
De 20 a 24 anys;24;75;501;1677;3105;2304;2037;1575;129;237;3;11670
De 25 a 29 anys;24;129;588;2406;1443;1368;1815;2289;738;837;57;11703
De 30 a 34 anys;12;183;714;3102;1473;1560;1554;1821;1440;909;180;12948
De 35 a 39 anys;18;201;987;3897;1875;1833;1665;1569;1677;630;222;14577
De 40 a 44 anys;21;156;1134;4701;2496;2217;2586;2247;1986;501;231;18279
De 45 a 49 anys;24;147;963;5313;2622;2415;2619;2133;2181;369;186;18966
De 50 a 54 anys;42;186;1098;5340;2328;2583;2130;1431;1734;240;129;17241
De 55 a 59 anys;45;195;1146;5694;1902;2355;1443;1047;1137;132;111;15207
De 60 a 64 anys;27;249;1587;5856;1662;1413;696;792;714;126;75;13200
De 65 a 69 anys;33;492;2151;5775;1245;939;453;585;456;78;60;12267
De 70 a 74 anys;75;1110;2982;4356;675;618;312;447;273;24;30;10905
De 75 a 79 anys;153;1572;2991;2565;399;288;174;264;162;12;21;8601
De 80 a 84 anys;201;1539;2151;984;195;162;87;126;75;3;12;5535
85 anys o més;360;2103;2418;708;159;105;78;93;45;3;6;6081
